ipVersion,startIp,endIp,datacenter,domain
4,94.130.50.0,94.130.50.63,Hetzner Online GmbH,www.hetzner.com
4,77.93.148.0,77.93.151.255,GCI Network Solutions Limited,www.nasstar.com
4,43.225.140.0,43.225.143.255,HUAWEI INTERNATIONAL PTE. LTD.,www.huaweicloud.com
4,188.114.243.203,188.114.243.203,MissDomain Group AB,missdomain.com
4,78.159.106.0,78.159.106.9,Leaseweb Deutschland GmbH,de.leaseweb.com
4,217.158.127.128,217.158.127.159,Claranet UK Ltd,www.claranet.com
4,116.202.255.240,116.202.255.255,Akamai Technologies Israel Ltd,www.akamai.com
4,5.134.118.178,5.134.118.178,GINERNET S.L.,ginernet.com
4,43.225.172.0,43.225.175.255,Goto Cloud Limited,cloudddos.com
4,80.169.224.8,80.169.224.15,NET GB iPREO co Interxion LON1,www.interxion.com
4,212.116.21.0,212.116.21.127,Plusserver GmbH,www.plusserver.com
4,219.94.193.0,219.94.193.255,SAKURA Internet Inc.,www.sakura.ad.jp
4,129.232.191.208,129.232.191.215,xneelo-tscolo,xneelo.co.za
4,144.76.244.16,144.76.244.23,Hetzner Online GmbH,www.hetzner.com
4,94.130.1.80,94.130.1.87,Hetzner Online GmbH,www.hetzner.com
4,185.12.186.0,185.12.187.255,Hostroyale,hostroyale.com
4,77.247.85.128,77.247.85.255,SysEleven GmbH,www.syseleven.de
4,78.41.207.81,78.41.207.81,Snel.com B.V.,www.snel.com
4,5.9.44.224,5.9.44.231,Hetzner Online GmbH,www.hetzner.com
4,38.142.17.224,38.142.17.231,Latitude.sh LLC,www.latitude.sh
4,188.246.0.0,188.246.1.255,Portunity GmbH,www.portunity.de
4,89.31.136.0,89.31.136.255,united-domains AG,www.united-domains.de
4,92.119.180.0,92.119.183.255,Braveway LLC,braveway.com
4,5.133.194.84,5.133.194.87,Internet Vikings International AB,internetvikings.com
4,133.125.101.0,133.125.101.255,SAKURA Internet Inc.,www.sakura.ad.jp
4,65.38.118.0,65.38.121.255,SunGard Availability Services LP,1111systems.com
4,164.39.54.232,164.39.54.235,M247 UK Ltd,m247.com
4,162.13.245.102,162.13.245.103,RSPC-UK-IP Space,www.rackspace.com
4,51.77.92.96,51.77.92.111,OVH HOSTING OY,proof.ovh.net
4,189.38.86.128,189.38.86.191,Metaweb Internet Ltda,www.metaweb.com.br
4,86.65.217.192,86.65.217.223,Internet Services,isi.ch
4,185.147.160.0,185.147.163.255,Asiatech Data Transmission company,asiatech.ir
4,5.104.229.30,5.104.229.30,Snel.com B.V.,www.snel.com
4,146.59.137.128,146.59.137.191,OVH SAS,proof.ovh.net
4,156.38.206.96,156.38.206.103,xneelo-tscolo,xneelo.co.za
4,37.44.7.120,37.44.7.121,SysEleven GmbH,www.syseleven.de
4,81.80.56.71,81.80.56.71,Orange Business Services,cloud.orange-business.com
4,148.252.237.208,148.252.237.211,M247 UK Ltd,m247.com
4,109.0.21.72,109.0.21.79,Internet Services,isi.ch
4,148.252.195.240,148.252.195.247,M247 UK Ltd,m247.com
4,51.179.188.247,51.179.188.247,M247 UK Ltd,m247.com
4,185.247.146.0,185.247.147.255,Trined 185 247 146,redhosting.nl
4,196.4.27.0,196.4.27.255,UNIDATA,uni.it
4,176.9.14.200,176.9.14.207,Hetzner Online GmbH,www.hetzner.com
4,194.99.107.0,194.99.107.255,M247 Ltd Manchester,m247.com
4,194.135.20.128,194.135.20.255,WebLine LTD,webline-services.com
4,148.251.199.104,148.251.199.111,Hetzner Online GmbH,www.hetzner.com
4,120.51.56.0,120.51.56.255,"GMO Internet,Inc.",www.gmo.jp
